ID;Tipo;Descrição do Requisito (Resumo);Caso de Uso Relacionado;Módulo / Componente;Caso de Teste Relacionado;Prioridade;Status
RF06;Funcional;TTS no App;UC03 - Emitir Alerta Sonoro;App Mobile;TC-TTS-006;Média;Pendente
RF09;Funcional;Falha de Processamento;UC12 - Notificar Falha;Backend, Firmware;TC-NOT-009;Média;Pendente
RF10;Funcional;Atualização de Parâmetros via App;UC05 - Calibrar Sensores;App Mobile, Firmware;TC-CAL-010;Alta;Pendente
RF11;Funcional;Verificar dispositivos pelo App;UC13 - Monitorar Status;App Mobile, Firmware;TC-MON-011;Média;Pendente
RF12;Funcional;Alerta de Bateria;UC03 - Emitir Alerta Sonoro;Firmware / App Mobile;TC-BAT-012;Alta;Pendente
RF13;Funcional;Confirmação de Inicialização;UC01 - Detectar Obstáculo;Firmware;TC-INI-013;Média;Pendente
RF14;Funcional;Modo de Silêncio Temporário;UC11 - Controlar Dispositivo;App Mobile;TC-SIL-014;Média;Pendente
RF15;Funcional;Exportação de Logs de Teste;UC10 - Armazenar Log;App Mobile;TC-LOG-015;Baixa;Pendente
RNF01;Não Funcional;Latência ponta-a-ponta (< 400 ms);—;Sistema (Geral);TC-PER-001;Alta;Pendente
RNF02;Não Funcional;Acurácia mínima (70%);—;Script Python;TC-PER-002;Alta;Pendente
RNF03;Funcional;[NOVO] Controle de Modo: Conexão WS;UC-09 - Transmitir Dados;App Mobile, Backend;TC-MOD-001 (Conectar WS);Alta;Pendente
RNF04;Funcional;[NOVO] Controle de Modo: Alternar para MANUAL;UC-11 - Controlar Dispositivo;App Mobile, Backend, Python;TC-MOD-002 (Mudar para Manual);Alta;Pendente
RNF Outros;Funcional;[NOVO] Controle de Modo: Alternar para REALTIME;UC-11 - Controlar Dispositivo;App Mobile, Backend, Python;TC-MOD-003 (Voltar para Realtime);Alta;Pendente
RNF Outros;Funcional;[NOVO] Controle de Modo: Captura Manual;UC-07 - Capturar Imagem;App Mobile, Python;TC-MOD-004 (Capturar Manualmente);Alta;Pendente
